FR,00000000000000000000000000000000,0000000000,0002,209
MR,00000000000000000000000000000001,0000000000,0002,210
MR,00000000000000000000000000000002,0000000000,0002,211
LR,00000000000000000000000000000003,0000000000,0002,212
FR,00000000000000000000000000000000,0000000000,0000,215
MR,00000000000000000000000000000001,0000000000,0000,216
MR,00000000000000000000000000000002,0000000000,0000,217
LR,00000000000000000000000000000003,0000000000,0000,218
FR,00000000000000000000000000000000,0000000001,0000,704
MR,00000000000000000000000000000001,0000000001,0000,705
MR,00000000000000000000000000000002,0000000001,0000,706
LR,00000000000000000000000000000003,0000000001,0000,707
FR,00000000000000000000000000000000,0000000000,0001,829
MR,00000000000000000000000000000001,0000000000,0001,830
MR,00000000000000000000000000000002,0000000000,0001,831
LR,00000000000000000000000000000003,0000000000,0001,832
FR,00000000000000000000000000000000,0000000000,0003,954
MR,00000000000000000000000000000001,0000000000,0003,955
MR,00000000000000000000000000000002,0000000000,0003,956
LR,00000000000000000000000000000003,0000000000,0003,957
FR,00000000000000000000000000000000,0000000001,0003,1079
MR,00000000000000000000000000000001,0000000001,0003,1080
MR,00000000000000000000000000000002,0000000001,0003,1081
LR,00000000000000000000000000000003,0000000001,0003,1082
FR,00000000000000000000000000000000,0000000000,0004,1204
MR,00000000000000000000000000000001,0000000000,0004,1205
MR,00000000000000000000000000000002,0000000000,0004,1206
LR,00000000000000000000000000000003,0000000000,0004,1207
FR,00000000000000000000000000000000,0000000000,0005,1329
MR,00000000000000000000000000000001,0000000000,0005,1330
MR,00000000000000000000000000000002,0000000000,0005,1331
LR,00000000000000000000000000000003,0000000000,0005,1332
FR,00000000000000000000000000000000,0000000001,0001,1454
MR,00000000000000000000000000000001,0000000001,0001,1455
MR,00000000000000000000000000000002,0000000001,0001,1456
LR,00000000000000000000000000000003,0000000001,0001,1457
FR,00000000000000000000000000000000,0000000002,0001,1494
MR,00000000000000000000000000000001,0000000002,0001,1495
MR,00000000000000000000000000000002,0000000002,0001,1496
LR,00000000000000000000000000000003,0000000002,0001,1497
FR,00000000000000000000000000000000,0000000001,0002,1579
MR,00000000000000000000000000000001,0000000001,0002,1580
MR,00000000000000000000000000000002,0000000001,0002,1581
LR,00000000000000000000000000000003,0000000001,0002,1582
FR,00000000000000000000000000000000,0000000001,0004,1626
MR,00000000000000000000000000000001,0000000001,0004,1627
MR,00000000000000000000000000000002,0000000001,0004,1628
LR,00000000000000000000000000000003,0000000001,0004,1629
FR,00000000000000000000000000000000,0000000001,0005,1715
MR,00000000000000000000000000000001,0000000001,0005,1716
MR,00000000000000000000000000000002,0000000001,0005,1717
LR,00000000000000000000000000000003,0000000001,0005,1718
FR,00000000000000000000000000000000,0000000002,0000,1829
MR,00000000000000000000000000000001,0000000002,0000,1830
MR,00000000000000000000000000000002,0000000002,0000,1831
LR,00000000000000000000000000000003,0000000002,0000,1832
